"Petržlen zväzok ks";"1,59";"1,59";"Kus";"";"";"ovocie-a-zelenina";"2002006958284";"052";"8588005311052";
"Tesco Šalát Little gem";"1,19";"1,19";"Kus";"";"";"ovocie-a-zelenina";"2002013968580";"016";"8594061390016";
"Tesco Paradajky podlhovasté 500 g";"1,49";"2,98";"kg";"-25%";"1,99";"ovocie-a-zelenina";"2002015575557";"051";"5998470503051";
"Tesco Paprika trikolóra 500 g";"0,99";"1,98";"kg";"-37%";"1,59";"ovocie-a-zelenina";"2002007798094";"877";"8594023940877";
"Šampiňóny voľné";"2,49";"2,49";"kg";"";"";"ovocie-a-zelenina";"2002007806003";"921";"285921";
"Hrozno stolové biele, voľné";"3,99";"3,99";"kg";"";"";"ovocie-a-zelenina";"2002006556930";"023";"284023";
"Tesco Maliny 125 g";"1,99";"15,92";"kg";"";"";"ovocie-a-zelenina";"2002006558064";"399";"8591911001399";
"Tesco Baby špenát 125 g";"0,99";"7,92";"kg";"";"";"ovocie-a-zelenina";"2002020042687";"773";"5051007102773";
"Mango ks";"1,09";"1,09";"Kus";"";"";"ovocie-a-zelenina";"2002006558194";"579";"0000096091579";
"Jablká Pink Lady ukladané";"0,30";"2,99";"kg";"";"";"ovocie-a-zelenina";"2002011916712";"128";"284128";
"Cuketa voľná";"3,19";"3,19";"kg";"";"";"ovocie-a-zelenina";"2002007785742";"741";"287741";
"The Grower's Harvest Polievková zmes 400 g";"1,49";"3,73";"kg";"";"";"ovocie-a-zelenina";"2002007937134";"498";"8586008420498";
"Karfiol ks";"1,59";"1,59";"Kus";"-27%";"2,19";"ovocie-a-zelenina";"2002006557302";"294";"8588005306294";
"The Grower's Harvest Paprika biela 500 g";"1,79";"3,58";"kg";"";"";"ovocie-a-zelenina";"2002010790115";"060";"8591601000060";
"Jablká Golden delicious ukladané";"0,99";"0,99";"kg";"-28%";"1,39";"ovocie-a-zelenina";"2002006841661";"021";"284021";
"Kapusta pekingská voľná";"1,49";"1,49";"kg";"";"";"ovocie-a-zelenina";"2002006557272";"040";"284040";
"Limety ks";"0,39";"0,39";"Kus";"";"";"ovocie-a-zelenina";"2002013676027";"264";"0000000002264";
"Hurmi-kaki ks";"0,45";"0,45";"Kus";"-34%";"0,69";"ovocie-a-zelenina";"2002006558934";"019";"8595160103019";
"Tesco Rukola 125 g";"1,09";"8,72";"kg";"";"";"ovocie-a-zelenina";"2002020042683";"766";"5051007102766";
"Jablká Red Delicious ukladané";"0,99";"0,99";"kg";"-28%";"1,39";"ovocie-a-zelenina";"2002006560432";"015";"284015";
"Kapusta biela voľná";"0,79";"0,79";"kg";"";"";"ovocie-a-zelenina";"2002006557234";"038";"284038";
"The Grower's Harvest Hrozno tmavé bezkôstkové 500 g";"1,69";"3,38";"kg";"-32%";"2,49";"ovocie-a-zelenina";"2002015660246";"036";"6009635190036";
"Tesco Zemiaky B konzumné neskoré prané B 2 kg";"1,69";"0,85";"kg";"";"";"ovocie-a-zelenina";"2002013914600";"616";"8588001665616";
"Tekvica maslová voľná";"1,19";"1,19";"kg";"";"";"ovocie-a-zelenina";"2002016965852";"498";"289498";
"Tesco Cesnak 3 ks";"1,59";"1,59";"Kus";"";"";"ovocie-a-zelenina";"2002017228536";"074";"8588006420074";
"Zeleninárska Kráľovské zemiaky červené 2,5 kg";"2,49";"1,00";"kg";"";"";"ovocie-a-zelenina";"2002120512986";"951";"8588001665951";
"Tesco Finest mango zrelé ks";"1,99";"1,99";"Kus";"";"";"ovocie-a-zelenina";"2002016366819";"989";"0000000022989";
"Tesco Zemiaky červené konzumné neskoré 2 kg";"1,69";"0,85";"kg";"";"";"ovocie-a-zelenina";"2002016219580";"647";"8588001665647";
"Reďkovka biela zväzok";"1,49";"1,49";"Kus";"";"";"ovocie-a-zelenina";"2002120226213";"599";"1234560149599";
"Tesco Šampiňóny biele 500 g";"1,49";"2,98";"kg";"";"";"ovocie-a-zelenina";"2002010235838";"413";"8588000047413";
"Tesco Cibuľa šalotka 250 g";"0,69";"2,76";"kg";"";"";"ovocie-a-zelenina";"2002011446219";"319";"8595160102319";
"Paprika žltá voľná";"2,99";"2,99";"kg";"";"";"ovocie-a-zelenina";"2002006558439";"063";"284063";
"Kiku Jablká Fuji ukladané";"2,29";"2,29";"kg";"";"";"ovocie-a-zelenina";"2002120678985";"080";"281080";
"The Grower's Harvest Hrušky balené 1 kg";"1,69";"1,69";"kg";"";"";"ovocie-a-zelenina";"2002012317594";"736";"8585015404736";
"The Grower's Harvest Jablká zelené, balené 2 kg";"1,99";"1,00";"kg";"";"";"ovocie-a-zelenina";"2002013071273";"562";"8585015403562";
"Kel voľný";"1,39";"1,39";"kg";"";"";"ovocie-a-zelenina";"2002006557456";"041";"284041";
"Tesco Zeler stopkový ks";"1,09";"1,09";"Kus";"";"";"ovocie-a-zelenina";"2002006558910";"436";"5051007065436";
"Reďkovka biela voľná";"1,29";"1,29";"kg";"";"";"ovocie-a-zelenina";"2002007977512";"269";"286269";
"Hliva ustricová voľná";"4,39";"4,39";"kg";"";"";"ovocie-a-zelenina";"2002006809548";"141";"284141";
"Tesco Šalát rímsky ks";"1,29";"1,29";"Kus";"";"";"ovocie-a-zelenina";"2002014386048";"412";"5051007065412";
"Hrozno stolové tmavé, voľné";"2,49";"2,49";"kg";"-21%";"3,19";"ovocie-a-zelenina";"2002006589488";"025";"284025";
"Fenikel voľný";"1,69";"1,69";"kg";"";"";"ovocie-a-zelenina";"2002006556695";"019";"284019";
"Jablká Gala ukladané";"1,39";"1,39";"kg";"";"";"ovocie-a-zelenina";"2002006634041";"133";"284133";
"Kapusta červená voľná";"0,89";"0,89";"kg";"";"";"ovocie-a-zelenina";"2002006557258";"039";"284039";
"Tekvica Hokkaido kg";"1,39";"1,39";"kg";"";"";"ovocie-a-zelenina";"2002120630863";"049";"281049";
"Melón žltý voľný";"1,99";"1,99";"kg";"";"";"ovocie-a-zelenina";"2002017176073";"493";"289493";
"The Grower's Harvest Jablká červené, balené 2 kg";"0,95";"0,95";"kg";"";"";"ovocie-a-zelenina";"2002013071297";"699";"8591911000699";
"Tesco Kôpor 40 g";"0,99";"24,75";"kg";"";"";"ovocie-a-zelenina";"2002012781364";"366";"8588002705366";
"Tesco Citróny 500 g";"0,69";"1,38";"kg";"-42%";"1,19";"ovocie-a-zelenina";"2002006948957";"509";"5051007057509";
"Cibuľa biela voľná";"0,99";"0,99";"kg";"";"";"ovocie-a-zelenina";"2002006556251";"009";"284009";
"Tesco Šampiňóny krémové 250 g";"0,79";"3,16";"kg";"";"";"ovocie-a-zelenina";"2002120872806";"477";"8594045872477";
"Tesco Hliva ustricová 250 g";"1,59";"6,36";"kg";"";"";"ovocie-a-zelenina";"2002012094655";"185";"8588000047185";
"The Grower's Harvest Zmes na sviečkovú 600 g";"1,49";"2,48";"kg";"";"";"ovocie-a-zelenina";"2002120244335";"141";"8586008425141";
"Slivky voľné";"0,28";"2,79";"kg";"";"";"ovocie-a-zelenina";"2002006558859";"074";"284074";
"Hrušky Nashi ks";"0,79";"0,79";"Kus";"-11%";"0,89";"ovocie-a-zelenina";"2002008349318";"112";"0000000095112";
"Litchi voľné";"5,99";"5,99";"kg";"";"";"ovocie-a-zelenina";"2002006557661";"048";"284048";
"Chren voľný";"5,99";"5,99";"kg";"";"";"ovocie-a-zelenina";"2002006556633";"905";"282905";
"Tesco Valeriana 125 g";"1,09";"8,72";"kg";"";"";"ovocie-a-zelenina";"2002020042688";"022";"5051007103022";
"Granátové jablko veľké ks";"0,99";"0,99";"Kus";"-41%";"1,69";"ovocie-a-zelenina";"2002016366857";"023";"0000000023023";
"Tesco Perfectly Imperfect Mrkva balená 1 kg";"0,69";"0,69";"kg";"";"";"ovocie-a-zelenina";"2002020105402";"656";"8588005311656";
"Ensa Tekvica nelúpaná pražená solená 500 g";"3,99";"7,98";"kg";"";"";"ovocie-a-zelenina";"2002120707365";"329";"8586012824329";
"Baklažán voľný";"2,59";"2,59";"kg";"";"";"ovocie-a-zelenina";"2002006555865";"001";"284001";
"Tesco Zmes presladenej papáje a pomarančovej kôry 100 g";"0,79";"0,01";"kg";"";"";"ovocie-a-zelenina";"2005100579618";"196";"5051007127196";
"České Houby Hríb smrekový 30 g";"3,69";"3,69";"Kus";"";"";"ovocie-a-zelenina";"2005100579619";"350";"8594045870350";
"Tesco Zmes presladených brusníc a lúpaných kešu orieškov 200 g";"2,49";"12,45";"kg";"";"";"ovocie-a-zelenina";"2005100579623";"902";"5051007115902";
"Tesco Koriander črepník ks";"1,19";"1,19";"Kus";"";"";"ovocie-a-zelenina";"2002009959158";"094";"8594171921094";
"Tesco Kešu oriešky jadrá pražené v mliečnej čokoláde 100 g";"1,89";"18,90";"kg";"";"";"ovocie-a-zelenina";"2005100579624";"011";"5051007114011";
"Tesco Student Mix 200 g";"1,99";"9,95";"kg";"";"";"ovocie-a-zelenina";"2005100501337";"919";"5051007115919";
"Tesco Finest Zmes mandlí a kešu orieškov v čokoláde 305 g";"6,49";"21,28";"kg";"";"";"ovocie-a-zelenina";"2005100553529";"858";"5051007144858";
"Tesco Zmes spracovaného ovocia a lúpaných suchých škrupinových plodov 60 g";"0,99";"16,50";"kg";"";"";"ovocie-a-zelenina";"2005100485669";"189";"5051007127189";
"Tesco Kešu oriešky pražené solené 500 g";"7,29";"14,58";"kg";"";"";"ovocie-a-zelenina";"2005100596865";"378";"5051007150378";
"Tesco Datle vykôstkované, čiastočne rehydratované 200 g";"1,79";"8,95";"kg";"-21%";"2,29";"ovocie-a-zelenina";"2005100547190";"022";"5051007116022";
"Tesco Finest Brazílske paraorechy jadrá v belgickej horkej čokoláde 150 g";"2,99";"19,93";"kg";"";"";"ovocie-a-zelenina";"2005100553530";"865";"5051007144865";
"Tesco Mandle jadrá blanšírované 200 g";"2,49";"12,45";"kg";"";"";"ovocie-a-zelenina";"2005100501171";"780";"5051007115780";
"Tesco Makadamové orechy 150 g";"5,39";"35,93";"kg";"";"";"ovocie-a-zelenina";"2005100485671";"858";"5051007115858";
